,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
0,1591948800000,call,ETH-12JUN20-250-C,250.0,237.94,SYN.ETH-12JUN20,1590864673066,"{'volume': 1549.0, 'price_change': 146.1538, 'low': 0.011, 'high': 0.032}",open,0.02,2533.0,0.0105,0.0595,0.030741,68.9,0.032,0.0,237.04,"{'vega': 0.16706, 'theta': -0.45867, 'rho': 0.02802, 'gamma': 0.01246, 'delta': 0.37333}",237.04,3566020821,"[[0.0285, 333.0], [0.028, 240.0], [0.0275, 220.0], [0.0245, 1.0], [0.0235, 43.0], [0.02, 100.0], [0.0155, 1.0], [0.015, 100.0], [0.0005, 2.0]]",65.7,0.0285,333.0,0.033,291.0,"[[0.033, 291.0], [0.041, 43.0], [0.05, 20.0]]",72.11
1,1591344000000,call,ETH-5JUN20-140-C,140.0,237.44,SYN.ETH-5JUN20,1590864670993,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.4,0.0,0.3925,0.4275,0.410352,110.42,,0.0,237.04,"{'vega': 5e-05, 'theta': -0.00048, 'rho': 0.02128, 'gamma': 1e-05, 'delta': 0.99996}",237.04,3563465041,[],0.0,0.0,0.0,0.0,0.0,[],0.0
2,1601020800000,put,ETH-25SEP20-400-P,400.0,240.85,ETH-25SEP20,1590864673998,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.73,3.0,0.6395,0.7905,0.708017,85.74,0.9025,0.0,237.04,"{'vega': 0.39617, 'theta': -0.14448, 'rho': -1.16035, 'gamma': 0.00247, 'delta': -0.78795}",237.04,3563077371,"[[0.0005, 5.0]]",0.0,0.0005,5.0,0.0,0.0,[],0.0
3,1591948800000,put,ETH-12JUN20-260-P,260.0,237.94,SYN.ETH-12JUN20,1590864673995,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.13,0.0,0.078,0.1555,0.11418,72.53,,0.0,237.04,"{'vega': 0.14771, 'theta': -0.42688, 'rho': -0.06849, 'gamma': 0.01046, 'delta': -0.72308}",237.04,3566014369,"[[0.1065, 1.0], [0.09, 17.0]]",59.57,0.1065,1.0,0.149,33.0,"[[0.149, 33.0]]",123.85
4,1601020800000,call,ETH-25SEP20-800-C,800.0,240.85,ETH-25SEP20,1590864674006,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.01,918.0,0.0001,0.031,0.008778,105.41,0.006,0.0,237.04,"{'vega': 0.1269, 'theta': -0.0569, 'rho': 0.02721, 'gamma': 0.00064, 'delta': 0.04386}",237.04,3565990942,"[[0.0065, 520.0], [0.0035, 74.0], [0.003, 100.0], [0.0005, 10.0]]",100.68,0.0065,520.0,0.0115,300.0,"[[0.0115, 300.0], [0.018, 74.0], [0.117, 141.0]]",110.16
5,1591344000000,put,ETH-5JUN20-200-P,200.0,237.44,SYN.ETH-5JUN20,1590864673991,"{'volume': 1077.0, 'price_change': -64.2857, 'low': 0.001, 'high': 0.007}",open,0.0,3395.0,0.0001,0.017,0.002389,87.81,0.0025,0.0,237.04,"{'vega': 0.03047, 'theta': -0.24113, 'rho': -0.00191, 'gamma': 0.00405, 'delta': -0.05058}",237.04,3566017688,"[[0.0015, 333.0], [0.001, 500.0], [0.0005, 46.0]]",80.0,0.0015,333.0,0.0035,600.0,"[[0.0035, 600.0], [0.004, 11.0], [0.0045, 40.0], [0.0075, 53.0], [0.008, 4.0], [0.02, 1.0], [0.0485, 10.0], [0.07, 40.0], [0.0795, 1.0], [0.2425, 75.0]]",95.61
6,1593158400000,put,ETH-26JUN20-190-P,190.0,238.95,ETH-26JUN20,1590864673685,"{'volume': 984.0, 'price_change': -20.5882, 'low': 0.0135, 'high': 0.017}",open,0.01,1593.0,0.0001,0.033,0.012983,77.8,0.0135,0.0,237.04,"{'vega': 0.12553, 'theta': -0.18393, 'rho': -0.02234, 'gamma': 0.00389, 'delta': -0.11557}",237.04,3565997331,"[[0.012, 520.0], [0.0115, 240.0], [0.01, 475.0], [0.005, 1.0], [0.0005, 146.0]]",75.9,0.012,520.0,0.014,240.0,"[[0.014, 240.0], [0.019, 62.0], [0.2125, 50.0]]",79.71
7,1593158400000,call,ETH-26JUN20-210-C,210.0,238.95,ETH-26JUN20,1590864676685,"{'volume': 2.0, 'price_change': 16.6667, 'low': 0.09, 'high': 0.105}",open,0.13,62.0,0.115,0.1825,0.147889,71.03,0.105,0.0,237.04,"{'vega': 0.19115, 'theta': -0.25572, 'rho': 0.10974, 'gamma': 0.00648, 'delta': 0.77933}",237.04,3566020842,"[[0.1325, 31.0], [0.048, 50.0]]",49.93,0.1325,31.0,0.1705,30.0,"[[0.1705, 30.0], [0.191, 1.0], [0.3485, 50.0]]",97.64
8,1590912000000,call,ETH-31MAY20-235-C,235.0,237.08,SYN.ETH-31MAY20,1590864675364,"{'volume': 1101.0, 'price_change': 900.0, 'low': 0.002, 'high': 0.02}",open,0.01,1203.0,0.0015,0.0475,0.01975,97.2,0.02,0.0,237.04,"{'vega': 0.03549, 'theta': -1.72494, 'rho': 0.00206, 'gamma': 0.04328, 'delta': 0.59977}",237.04,3566005305,"[[0.014, 258.0], [0.0095, 31.0], [0.0005, 1.0]]",58.08,0.014,258.0,0.0255,258.0,"[[0.0255, 258.0], [0.032, 30.0]]",135.32
9,1608883200000,put,ETH-25DEC20-800-P,800.0,242.7,ETH-25DEC20,1590864676997,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,2.38,1.0,2.212,2.4625,2.325615,98.25,2.6765,0.0,237.04,"{'vega': 0.3415, 'theta': -0.08045, 'rho': -4.46122, 'gamma': 0.00103, 'delta': -0.89153}",237.04,3563077378,"[[0.0005, 5.0]]",0.0,0.0005,5.0,0.0,0.0,[],0.0
10,1596182400000,call,ETH-31JUL20-200-C,200.0,239.68,SYN.ETH-31JUL20,1590864678249,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.19,0.0,0.174,0.2495,0.21005,72.08,,0.0,237.03,"{'vega': 0.29427, 'theta': -0.17231, 'rho': 0.22882, 'gamma': 0.00421, 'delta': 0.77622}",237.03,3566007156,"[[0.2, 58.0], [0.1955, 1.0]]",63.7,0.2,58.0,0.2315,33.0,"[[0.2315, 33.0]]",88.98
11,1608883200000,put,ETH-25DEC20-120-P,120.0,242.69,ETH-25DEC20,1590864678251,"{'volume': 5.0, 'price_change': 0.0, 'low': 0.0285, 'high': 0.0285}",open,0.03,23120.0,0.0125,0.0555,0.028575,83.52,0.0285,0.0,237.03,"{'vega': 0.26277, 'theta': -0.05261, 'rho': -0.14525, 'gamma': 0.00093, 'delta': -0.07617}",237.03,3566006844,"[[0.0245, 300.0], [0.0155, 64.0], [0.015, 200.0], [0.008, 1.0]]",79.64,0.0245,300.0,0.03,20.0,"[[0.03, 20.0], [0.039, 1.0], [0.0455, 64.0], [0.1405, 5.0]]",84.82
12,1608883200000,put,ETH-25DEC20-480-P,480.0,242.69,ETH-25DEC20,1590864679257,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,1.08,0.0,0.963,1.156,1.050069,88.23,,0.0,237.0,"{'vega': 0.57717, 'theta': -0.1221, 'rho': -2.50246, 'gamma': 0.00194, 'delta': -0.75462}",237.0,3563077381,"[[0.0005, 5.0]]",0.0,0.0005,5.0,0.0,0.0,[],0.0
13,1593158400000,call,ETH-26JUN20-440-C,440.0,238.91,ETH-26JUN20,1590864679997,"{'volume': 51.0, 'price_change': -20.0, 'low': 0.002, 'high': 0.0025}",open,0.0,2891.0,0.0001,0.019,0.004341,117.28,0.002,0.0,237.0,"{'vega': 0.05342, 'theta': -0.118, 'rho': 0.00588, 'gamma': 0.0011, 'delta': 0.03815}",237.0,3565997297,"[[0.003, 520.0], [0.0005, 418.0]]",110.61,0.003,520.0,0.006,362.0,"[[0.006, 362.0], [0.008, 75.0], [0.088, 200.0], [0.099, 6.0], [0.1, 100.0], [0.488, 200.0]]",124.0
14,1601020800000,call,ETH-25SEP20-720-C,720.0,240.79,ETH-25SEP20,1590864680268,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.01,1158.0,0.0001,0.036,0.011254,102.51,0.0055,0.0,236.97,"{'vega': 0.15351, 'theta': -0.06694, 'rho': 0.03446, 'gamma': 0.0008, 'delta': 0.05569}",236.97,3565938834,"[[0.0085, 520.0], [0.004, 73.0], [0.001, 10.0], [0.0005, 334.0]]",97.83,0.0085,520.0,0.0145,300.0,"[[0.0145, 300.0], [0.022, 73.0]]",107.23
15,1593158400000,call,ETH-26JUN20-160-C,160.0,238.91,ETH-26JUN20,1590864680266,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.32,907.0,0.3115,0.3605,0.335095,92.86,0.214,0.0,236.97,"{'vega': 0.05794, 'theta': -0.10133, 'rho': 0.10823, 'gamma': 0.0015, 'delta': 0.95784}",236.97,3566021350,"[[0.3315, 1.0], [0.3165, 30.0], [0.2335, 50.0], [0.127, 4.0]]",72.75,0.3315,1.0,0.3495,30.0,"[[0.3495, 30.0], [0.534, 50.0], [0.5555, 4.0], [0.969, 2.0]]",132.93
16,1593158400000,put,ETH-26JUN20-50-P,50.0,238.86,ETH-26JUN20,1590864681273,"{'volume': 1.0, 'price_change': 0.0, 'low': 0.0005, 'high': 0.0005}",open,0.0,11880.0,0.0001,0.015,1e-06,144.22,0.0005,0.0,236.95,"{'vega': 4e-05, 'theta': -0.0001, 'rho': 0.0, 'gamma': 0.0, 'delta': -1e-05}",236.95,3565938849,[],0.0,0.0,0.0,0.0015,300.0,"[[0.0015, 300.0], [0.0025, 79.0], [0.004, 1.0], [0.006, 1.0], [0.008, 1.0], [0.009, 1001.0], [0.01, 1.0], [0.012, 1.0], [0.0145, 6.0], [0.015, 52.0], [0.0155, 48.0], [0.0415, 6.0], [0.042, 797.0], [0.05, 10.0], [0.063, 635.0], [0.065, 10.0], [0.15, 15.0], [0.19, 220.0], [0.3, 10.0], [0.35, 300.0]]",263.32
17,1596182400000,put,ETH-31JUL20-360-P,360.0,239.61,SYN.ETH-31JUL20,1590864681272,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.55,0.0,0.47,0.59,0.52495,82.2,,0.0,236.95,"{'vega': 0.22924, 'theta': -0.15308, 'rho': -0.55569, 'gamma': 0.00288, 'delta': -0.85018}",236.95,3563077387,[],0.0,0.0,0.0,0.0,0.0,[],0.0
